OBJ_ID,Dat_obs,Hr_obs,Nb_coyotes,Alimentation,Statut_animal,Periode,Comp_class,Com_code,Cote,Territoire,Statut_mention,Provenance,Verif,X,Y,Lat,Long,geometry
1296,"2019-01-17","14:53:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293386.4732,5046459.318,"45,557952","-73,646196",POINT (293386.4732 5046459.318)
1297,"2019-01-17","15:30:00",1,"nourriture domestique",,"jour","1",2,1,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293373.0358,5046282.976,"45,556365","-73,646364",POINT (293373.0358 5046282.976)
1299,"2019-01-16","14:00:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293640.1987,5046979.159,"45,5626338","-73,6429579",POINT (293640.1987 5046979.159)
1301,"2019-01-17","15:50:00",1,,,"crepuscule","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293377.9758,5046397.489,"45,5573955","-73,6463034",POINT (293377.9758 5046397.489)
1302,"2019-01-17","15:35:00",1,,,"jour","5",10,9,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293309.1577,5046337.967,"45,55685877","-73,64718348",POINT (293309.1577 5046337.967)
1303,"2019-01-17","14:00:00",1,,,"jour","3",7,6,"Villeray—Saint-Michel—Parc-Extension","Valide","formulaire","oui",294877.5566,5047089.262,"45,56364328","-73,62710953",POINT (294877.5566 5047089.262)
1304,"2019-01-17","14:00:00",1,,,"jour","3",6,5,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",294395.3333,5047703.018,"45,569159","-73,6333",POINT (294395.3333 5047703.018)
1305,"2019-01-17","08:43:00",1,,,"jour","1",2,1,"Villeray—Saint-Michel—Parc-Extension","Valide","formulaire","oui",295063.0465,5046886.965,"45,56182557","-73,62472932",POINT (295063.0465 5046886.965)
1306,"2019-01-18","07:45:00",1,,,"crepuscule","2",4,2.8,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",294540.3091,5048053.7,"45,5723167","-73,63145",POINT (294540.3091 5048053.7)
1307,"2019-01-18","18:00:00",1,,,"nuit","inconnue",1,0,"Saint-Laurent","Valide","formulaire","oui",288962.6292,5039821.331,"45,4981346","-73,70264617",POINT (288962.6292 5039821.331)
1308,"2019-01-18","00:05:00",1,,,"nuit","1",2,0.6,"Anjou","Valide","formulaire","oui",298134.696,5051688.725,"45,6050694","-73,5854474",POINT (298134.696 5051688.725)
1309,"2019-01-19","10:35:00",1,"ordures",,"jour","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",295414.2049,5047853.512,"45,57052768","-73,62024959",POINT (295414.2049 5047853.512)
1310,"2019-01-18","09:51:00",1,,,"jour","2",4,3,"Rosemont—La Petite-Patrie","Valide","formulaire","oui",299579.5914,5046342.268,"45,55697273","-73,56686711",POINT (299579.5914 5046342.268)
1311,"2019-01-15","16:48:00",1,,,"crepuscule","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",293530.8014,5047031.976,"45,5631073","-73,6443605",POINT (293530.8014 5047031.976)
1312,"2019-01-15","17:30:00",1,,,"crepuscule","5",10,8.8,"Ahuntsic-Cartierville","Valide","SPVM","oui",293377.139,5046863.411,"45,561588","-73,646325",POINT (293377.139 5046863.411)
1313,"2019-01-18","07:47:00",1,,,"crepuscule","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","SPVM","oui",294935.6925,5048108.607,"45,57281648","-73,62638536",POINT (294935.6925 5048108.607)
1314,"2019-01-21","00:46:00",1,,,"nuit","inconnue",1,0,"Anjou","Valide","formulaire","oui",298132.7125,5051767.187,"45,6057754","-73,5854739",POINT (298132.7125 5051767.187)
1316,"2019-01-22","19:00:00",1,,,"nuit","2",4,2.6,"Mercier—Hochelaga-Maisonneuve","Valide","formulaire","oui",301494.7723,5052375.667,"45,61127477","-73,5423768",POINT (301494.7723 5052375.667)
1317,"2019-01-25","10:00:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293418.0741,5046836.171,"45,56134355","-73,6458",POINT (293418.0741 5046836.171)
1318,"2019-01-26","16:00:00",1,"nourriture domestique",,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","formulaire","oui",294403.1744,5046082.923,"45,554581","-73,6331651",POINT (294403.1744 5046082.923)
1319,"2019-01-26","14:20:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293825.0331,5046258.831,"45,556155","-73,640574",POINT (293825.0331 5046258.831)
1320,"2019-01-26","14:30:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293554.3053,5046300.796,"45,5565283","-73,6440426",POINT (293554.3053 5046300.796)
